TaxID,Domain,Phylum,Class,Order,Family,Genus,Species
1664360143,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Bordetella,s__Bordetella pseudohinzii
1973894085,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,s__Shewanella halifaxensis
386075449,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__Anaerovibrio sp934196075
1741365367,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp934678915
1340900794,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus sp017517145
416850161,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA3855,s__UBA3855 sp017528675
902143139,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__HGM16780,s__HGM16780 sp944390275
1077495385,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Granulosicoccales,f__Granulosicoccaceae,g__UBA7957,s__UBA7957 sp003511825
1853012821,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Villigracilaceae,g__UBA877,s__UBA877 sp002294405
349241344,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__WM01,s__WM01 sp004570605
1442469555,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Thauera,s__Thauera propionica
819144983,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Isosphaerales,f__Isosphaeraceae,g__JAQGHR01,s__JAQGHR01 sp028291545
1291737846,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Micromonosporaceae,g__Planosporangium,s__Planosporangium mesophilum
2066441852,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium fluviatile
48966209,d__Bacteria,p__Myxococcota,c__Polyangia,o__HGW-17,f__JALWFW01,g__JALWFW01,s__JALWFW01 sp027013865
1705133945,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__FEN-1388,g__SZAS-6,s__SZAS-6 sp018239705
185609148,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__SGZJ01,s__SGZJ01 sp018674025
1678961249,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__JAUIKQ01,g__JAUIKQ01,s__JAUIKQ01 sp030430655
109402528,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Opacimonas,s__Opacimonas sp023268935
206141711,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales_B,f__DSM-18226,g__Mesobacillus,s__Mesobacillus sp018613055
182554890,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__RUG099,s__RUG099 sp029101005
